,Temperature,Mean_CN,Std_CN,Min_CN,Max_CN,Median_CN,Mean_AtomicVolume,Std_AtomicVolume,Min_AtomicVolume,Max_AtomicVolume,Median_AtomicVolume,Mean_CavityRadius,Std_CavityRadius,Min_CavityRadius,Max_CavityRadius,Median_CavityRadius,Mean_Displacement,Std_Displacement,Min_Displacement,Max_Displacement,Median_Displacement,Mean_Temperature,Std_Temperature,Min_Temperature,Max_Temperature,First_Temperature,Last_Temperature,Delta_Temperature
Temperature,1.0,-0.39213515873045224,-0.006769596730001414,0.012262786789699318,-0.07908935955910391,-0.3311349417538863,-0.00977830638777982,-0.3261942720641422,-0.06217999959408706,-0.0503958867677883,0.3071391108982123,0.22665612755263992,-0.277553465930058,0.04688572550038016,-0.14040645069632562,0.2996173367537663,,,,,,0.3006154139932852,0.30211911760642374,0.09836727802614792,0.35900923763683285,0.1485458474436732,0.20137097552613975,0.058519132277975894
Mean_CN,-0.39213515873045224,1.0,0.45473597359735973,0.21387665987281854,0.44909721041258444,0.8904332019465092,-0.018795379537953797,0.7433333333333333,-0.04932343234323432,0.11404290429042904,-0.8838118811881188,-0.5948184818481849,0.7656600660066006,-0.30995049504950495,0.5669801980198019,-0.8981188118811881,,,,,,-0.5957321026035711,0.1451104236967333,-0.49928047400832837,-0.5945692398731796,-0.5665986026563834,-0.4773097909319943,0.41937283574759243
Std_CN,-0.006769596730001414,0.45473597359735973,1.0,0.5722209503767107,0.2592893859972895,0.31222982405916555,-0.1325082508250825,0.24955445544554455,-0.36075907590759076,0.050775577557755774,-0.4504950495049505,-0.2491089108910891,0.4633993399339934,-0.16103960396039604,0.6122112211221122,-0.38887788778877885,,,,,,-0.7041175068787896,0.13993114855711702,-0.7173873376107045,-0.6656275752281698,-0.73495452154808,-0.5478732910825627,0.5952207728923351
Min_CN,0.012262786789699318,0.21387665987281854,0.5722209503767107,1.0,0.19548659064894294,0.17040173919582877,0.0669877840356375,0.13962514021885888,-0.586748421613355,-0.2953919151451003,-0.22114039549114067,-0.045196577180671084,0.43663121883469747,0.08716482741986567,0.6141892006159053,-0.25342366490590573,,,,,,-0.6292512408961898,-0.05808472992887906,-0.6219906496550799,-0.594561749410887,-0.567343353169922,-0.536477019482008,0.24766683455785932
Max_CN,-0.07908935955910391,0.44909721041258444,0.2592893859972895,0.19548659064894294,1.0,0.39396616421152786,-0.32528525050995327,0.4847442724416078,0.026073014078594626,0.20170567041194418,-0.5774638144858079,-0.5974949536442291,0.34508400986375243,-0.07073641252695369,0.37245835084823053,-0.5668208194341178,,,,,,-0.3031708254269275,0.13723055751013546,-0.26679590107674606,-0.32988293462405954,-0.1825462786799643,-0.40532722216517664,-0.04422596166203418
Median_CN,-0.3311349417538863,0.8904332019465092,0.31222982405916555,0.17040173919582877,0.39396616421152786,1.0,-0.028798975937081153,0.607558318610855,-0.0017790873165764419,-0.028131818193364987,-0.8212711825146,-0.539508228751806,0.6787218112739126,-0.20403907661986068,0.5479588935055442,-0.845400054245668,,,,,,-0.45513805138401936,0.1754976759793325,-0.3820047576573564,-0.4203497216933727,-0.4319579098145337,-0.32387601507522157,0.3417703316253625
Mean_AtomicVolume,-0.00977830638777982,-0.018795379537953797,-0.1325082508250825,0.0669877840356375,-0.32528525050995327,-0.028798975937081153,1.0,-0.05018151815181518,-0.11407590759075907,-0.4178877887788779,0.38605610561056103,0.7291584158415841,0.2959405940594059,0.2855445544554455,-0.11605610561056105,0.3113201320132013,,,,,,-0.0726418080091405,-0.026135546046885356,-0.07311190145334133,-0.013962600018105682,-0.05230699430429074,-0.08439414411416152,-0.054794751636322594
Std_AtomicVolume,-0.3261942720641422,0.7433333333333333,0.24955445544554455,0.13962514021885888,0.4847442724416078,0.607558318610855,-0.05018151815181518,1.0,0.0232013201320132,0.45485148514851487,-0.7051320132013201,-0.5613201320132013,0.576023102310231,-0.02684818481848185,0.34295379537953796,-0.7362376237623762,,,,,,-0.4160244508643373,0.08927651813112464,-0.30649267836554134,-0.42809018259882553,-0.30867726891178765,-0.3947382898207869,0.1567308037472418
Min_AtomicVolume,-0.06217999959408706,-0.04932343234323432,-0.36075907590759076,-0.586748421613355,0.026073014078594626,-0.0017790873165764419,-0.11407590759075907,0.0232013201320132,1.0,0.3478217821782178,0.023003300330033002,-0.15427392739273926,-0.13437293729372937,-0.08272277227722773,-0.07853135313531354,0.06445544554455446,,,,,,0.17007485975982006,-0.11301211343656359,0.16427704061467638,0.09716089238824752,0.07207474798774194,0.1277746970351514,0.02701800216143781
Max_AtomicVolume,-0.0503958867677883,0.11404290429042904,0.050775577557755774,-0.2953919151451003,0.20170567041194418,-0.028131818193364987,-0.4178877887788779,0.45485148514851487,0.3478217821782178,1.0,-0.33572607260726073,-0.5134488448844885,-0.13486798679867987,-0.009735973597359737,-0.08848184818481848,-0.284009900990099,,,,,,-0.017814067359189768,-0.1151069158019498,0.05018453698179154,-0.11172554190506656,-0.01118742654205335,-0.12444280665871037,-0.026143793300292387
