Feature,Importance,Rank,Cumulative_Importance
First_Temperature,0.13424657008099478,1,0.13424657008099478
Min_Temperature,0.1313614005422637,2,0.26560797062325847
Delta_Temperature,0.12803196377443637,3,0.39363993439769485
Last_Temperature,0.11553640965472103,4,0.5091763440524159
Std_Temperature,0.09721834651849544,5,0.6063946905709113
Max_Temperature,0.0737269216417564,6,0.6801216122126678
Mean_Temperature,0.0718344477834502,7,0.7519560599961179
Max_CavityRadius,0.04245773001968499,8,0.7944137900158029
Std_CN,0.03614400741823435,9,0.8305577974340372
Median_CavityRadius,0.03069116172508122,10,0.8612489591591185
Std_CavityRadius,0.03011008166116861,11,0.891359040820287
Mean_CN,0.026604896428760266,12,0.9179639372490473
Median_AtomicVolume,0.01981394895927189,13,0.9377778862083193
Min_CavityRadius,0.016276434890223197,14,0.9540543210985425
Std_AtomicVolume,0.01436770725462251,15,0.968422028353165
Median_CN,0.009309076804130801,16,0.9777311051572959
Min_AtomicVolume,0.008308511225929072,17,0.986039616383225
Min_CN,0.007218714145679327,18,0.9932583305289043
Max_AtomicVolume,0.0018704243477697467,19,0.9951287548766741
Mean_CavityRadius,0.0018660780933553221,20,0.9969948329700294
Max_CN,0.0015972353379599786,21,0.9985920683079894
Mean_AtomicVolume,0.0009285105743178136,22,0.9995205788823073
Temperature,0.0004794211176929452,23,1.0000000000000002
