,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,missing,missing_pct
Temperature,90.0,225.0,85.86964251479085,100.0,150.0,225.0,300.0,350.0,7373.595505617977,0.0,-1.272225705329154,0,0.0
Mean_CN,90.0,12.652814228085646,0.4356124157762086,11.693782864212805,12.331491712707182,12.529771110423756,12.874558599628791,13.518284993694829,0.18975817677838439,0.6300678025887038,-0.5080102240388129,0,0.0
Std_CN,90.0,3.1605994087828972,0.05312675680539352,3.060660145655327,3.1353909044863197,3.1517463610963654,3.18680230279997,3.2764291073368015,0.0028224522886594267,0.7615024485877226,-0.002225995171324602,0,0.0
Min_CN,90.0,1.4222222222222223,0.7185781494061694,1.0,1.0,1.0,2.0,3.0,0.516354556803995,1.39414530914833,0.4106243110685086,0,0.0
Max_CN,90.0,24.122222222222224,0.8187106577257058,23.0,24.0,24.0,24.0,26.0,0.6702871410736578,0.7739870091500949,0.469344225003018,0,0.0
Median_CN,90.0,12.555555555555555,0.6200962431844637,12.0,12.0,12.0,13.0,14.0,0.38451935081148547,0.6521058035075438,-0.5037878016824973,0,0.0
Mean_AtomicVolume,90.0,35.153950729876186,1.7584434565028837,33.35066383235385,33.35066778765852,34.59006362715554,37.521120722167176,37.52112612412178,3.0921233897178086,0.45783885394464785,-1.5170454545425498,0,0.0
Std_AtomicVolume,90.0,132.69534850556127,11.517740172992799,90.9809848874555,125.95721831042201,131.90095699042945,136.25593153936424,158.4522684803344,132.6583386925722,0.07473645025611347,1.4412640377610666,0,0.0
Min_AtomicVolume,90.0,2.419798111111111,0.24102175879626708,2.03754,2.2198425,2.33716,2.69872,2.79897,0.05809148821324595,0.31736820315491693,-1.387528619225865,0,0.0
Max_AtomicVolume,90.0,4194.723777777778,1595.9549206057775,2047.58,2922.58,3700.47,4655.7675,8342.16,2547072.108605793,1.0237304967651597,-0.10300314189120785,0,0.0
Median_AtomicVolume,90.0,11.29761888888889,0.6839706233251434,10.2583,10.7431375,11.265350000000002,11.8592,12.90625,0.4678158135717852,0.14652531591209586,-1.009550733380177,0,0.0
Mean_CavityRadius,90.0,3.5848422465672765,0.12682619806991474,3.3757530420661928,3.4880823948345188,3.5512309870862975,3.6815160662493245,3.8541967078003965,0.016084884516869246,0.406849294074188,-0.9257303538175186,0,0.0
Std_CavityRadius,90.0,3.154278794197312,0.26492295468287475,2.516386520637045,3.003793515085484,3.0961796131628665,3.1879539628324207,3.86405010735081,0.07018417191790449,1.133030455157393,1.545001891494655,0,0.0
Min_CavityRadius,90.0,1.4463925555555557,0.016239516622650097,1.41661,1.43477,1.45005,1.4571525,1.47923,0.0002637219001373288,-0.1799271135843625,-0.7644409473231586,0,0.0
Max_CavityRadius,90.0,24.689714444444448,2.901850353801248,18.1288,22.463775,24.5933,25.6269,30.46,8.420735475856429,0.3890016780267272,-0.3724129595765824,0,0.0
Median_CavityRadius,90.0,2.5477915,0.14754291470438793,2.3394000000000004,2.41498875,2.535235,2.683585,2.8506,0.021768911679466294,0.1024845882072846,-1.1456254000668986,0,0.0
Mean_Displacement,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Std_Displacement,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Min_Displacement,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Max_Displacement,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Median_Displacement,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Mean_Temperature,90.0,385.7836158148148,91.04374961916803,276.768515,315.85707,374.948085625,446.9703125,623.08643375,8288.964344717757,0.778274117736729,-0.032764807164000764,0,0.0
Std_Temperature,90.0,27.515387461620964,24.668948352676775,2.0907942364200367,9.664343370997916,20.391191594401686,40.06101760158257,87.848660925428,608.5570128270341,0.994920287252872,-0.06709746294250518,0,0.0
Min_Temperature,90.0,332.19222222222226,100.20014851093278,178.231,297.17,330.94000000000005,340.99,611.553,10040.069761612984,0.9904846531607852,1.2377628374966267,0,0.0
Max_Temperature,90.0,429.02420000000006,111.49309690418234,305.527,333.793,400.48249999999996,525.49775,634.453,12430.710657285394,0.48133469535729495,-1.2077648356269866,0,0.0
First_Temperature,90.0,366.26967777777776,127.1781368323716,178.231,301.27,332.805,468.3315,630.509,16174.278488153435,0.5233699602963491,-0.6376137693492452,0,0.0
Last_Temperature,90.0,392.9620666666667,100.8420985075739,297.299,332.838,337.7655,469.02925,630.468,10169.128831411237,1.0877437416522031,-0.19363440634455698,0,0.0
Delta_Temperature,90.0,26.69238888888889,120.34789216703929,-284.391,1.6017499999999814,31.56800000000004,95.588,282.449,14483.615149049316,-0.5396167564527066,0.8104800018667864,0,0.0
